Position,Adm No,Name,Gender,Eng,Kiswahili,Maths,Chemistry,Biology,Physics,History,Geo,CRE,IRE,Agriculture,Computer,French,Business,No. of Subjects,Mean Marks,Grade,Points,Total Marks,Behavior(1-5),Attendance(0-100%)
1,ADM1053,Peter Njoroge,Male,72.4,81.3,74.2,85.6,82.1,87.3,84.2,79.5,53.8,71.2,,83.4,82.1,,12,78.4,A-,11,940.8,2,97%
2,ADM1007,Grace Wanjiku,Female,59.2,84.1,61.3,89.7,93.2,92.4,63.5,,72.8,79.3,83.1,41.2,,89.6,12,76.2,A-,11,914.4,3,91%
3,ADM1039,Lucy Wambui,Female,65.8,94.3,96.1,81.2,87.4,58.9,,93.4,91.2,52.3,,74.1,40.8,81.5,12,75.9,A-,11,910.8,4,95%
4,ADM1020,Ann Njoroge,Male,89.1,67.8,86.4,87.2,92.8,89.7,72.3,40.1,55.2,,79.1,86.4,,56.3,12,75.2,A-,11,902.4,3,89%
5,ADM1045,Jane Njoroge,Female,91.6,46.2,38.1,83.4,88.9,43.8,85.1,73.9,96.2,97.8,,76.1,,72.5,12,74.1,B+,10,889.2,2,99%
6,ADM1043,Grace Odhiambo,Female,93.2,97.1,72.8,38.4,71.3,74.6,56.7,,82.9,94.1,69.8,76.2,,78.4,12,74.0,B+,10,888.0,3,82%
7,ADM1034,Mary Achieng,Male,84.6,65.1,81.7,48.2,86.4,81.2,,86.1,35.4,78.9,97.8,,73.2,79.1,12,74.0,B+,10,888.0,4,98%
8,ADM1050,Ann Wambui,Female,68.2,69.4,94.6,93.1,79.8,,82.3,,40.9,52.6,85.4,91.7,81.3,41.2,12,71.6,B+,10,859.2,2,98%
9,ADM1024,Michael Omondi,Female,67.9,87.4,68.1,74.2,,54.8,78.1,63.2,89.4,78.6,75.3,,79.5,72.1,12,71.4,B+,10,856.8,4,87%
10,ADM1055,James Ochieng,Female,90.2,58.1,72.4,81.6,,85.9,92.8,76.4,90.1,45.8,49.2,,75.3,68.9,12,72.1,B+,10,865.2,5,97%
11,ADM1021,Daniel Anyango,Female,82.1,90.4,72.8,77.3,78.2,61.4,91.1,,37.6,54.2,,68.9,77.8,90.6,12,71.2,B+,10,854.4,3,93%
12,ADM1056,Jane Wanjiku,Male,84.2,86.9,89.1,79.6,81.2,58.7,,52.1,37.8,66.4,84.9,71.3,,75.8,12,70.0,B+,10,840.0,3,100%
13,ADM1003,Ann Omondi,Female,76.1,40.2,58.4,63.8,71.4,82.3,,76.5,97.2,62.1,,88.4,75.9,94.2,12,71.0,B+,10,852.0,1,97%
14,ADM1023,Daniel Njoroge,Male,89.6,90.8,63.2,67.4,72.1,69.8,75.2,60.3,57.1,81.3,64.1,,,83.4,12,69.6,B+,10,835.2,2,90%
15,ADM1002,Michael Odhiambo,Male,91.2,88.3,88.9,54.8,,,79.1,75.4,63.8,67.2,82.1,51.3,71.8,56.4,12,69.9,B+,10,838.8,3,90%
