Position,Adm No,Name,Gender,Eng,Kiswahili,Maths,Chemistry,Biology,Physics,History,Geo,CRE,IRE,Agriculture,Computer,French,Business,No. of Subjects,Mean Marks,Grade,Points,Total Marks,Behavior(1-5),Attendance(0-100%)
1,ADM1007,Grace Wanjiku,Female,48.5,75.2,49.8,84.1,88.3,87.9,52.1,,61.4,71.8,75.3,32.1,,84.2,12,68.4,B,9,820.8,3,89%
2,ADM1053,Peter Njoroge,Male,61.2,72.8,63.4,78.9,76.5,80.1,76.3,73.2,42.8,63.1,,75.8,74.2,,12,70.1,B+,10,841.2,1,95%
3,ADM1020,Ann Njoroge,Male,83.4,57.6,79.2,79.8,87.1,84.3,62.1,31.2,44.5,,70.8,79.2,,47.6,12,67.9,B,9,814.7,4,87%
4,ADM1039,Lucy Wambui,Female,54.3,89.1,89.7,74.6,80.9,48.8,,86.2,84.5,41.2,,62.8,31.4,72.9,12,68.8,B,9,825.6,5,93%
5,ADM1045,Jane Njoroge,Female,85.1,36.9,28.7,75.8,82.6,34.2,77.4,62.8,89.1,89.5,,68.3,,64.2,12,66.9,B,9,802.8,2,98%
6,ADM1034,Mary Achieng,Male,77.2,55.4,74.1,38.9,78.7,72.9,,77.8,27.1,71.4,90.2,,64.1,69.8,12,67.2,B,9,806.4,4,96%
7,ADM1043,Grace Odhiambo,Female,87.4,90.8,62.1,29.8,60.5,64.9,45.2,,73.1,87.6,59.8,67.2,,68.9,12,67.1,B,9,805.2,3,80%
8,ADM1050,Ann Wambui,Female,56.8,59.1,87.9,87.2,69.4,,74.1,,31.8,41.2,77.3,82.4,72.1,32.1,12,64.8,B,9,777.6,2,96%
9,ADM1024,Michael Omondi,Female,57.1,79.2,57.3,64.8,,44.6,66.8,54.1,82.1,67.9,66.1,,69.2,63.1,12,64.7,B,9,776.4,5,85%
10,ADM1055,James Ochieng,Female,84.6,48.9,61.2,71.3,,77.8,84.9,66.2,83.1,35.6,40.4,,66.1,59.8,12,65.4,B,9,784.8,5,95%
11,ADM1021,Daniel Anyango,Female,74.3,82.8,61.7,67.1,67.9,50.8,83.4,,28.9,43.8,,58.1,68.2,82.3,12,64.6,B,9,775.2,4,91%
12,ADM1056,Jane Wanjiku,Male,76.1,79.0,81.6,69.2,70.4,49.1,,42.8,29.1,56.8,76.9,60.8,,66.2,12,63.5,B-,8,762.0,4,99%
13,ADM1003,Ann Omondi,Female,66.2,31.1,48.4,52.8,60.3,72.1,,65.2,89.8,51.9,,80.4,65.8,85.7,12,64.4,B,9,772.8,1,95%
14,ADM1002,Michael Odhiambo,Male,85.1,80.1,81.2,44.8,,,68.9,64.8,53.2,56.7,73.4,42.1,61.8,46.2,12,63.4,B-,8,760.8,4,88%
15,ADM1023,Daniel Njoroge,Male,82.2,83.1,52.4,56.9,61.0,59.4,64.5,50.1,46.8,70.1,54.2,,,74.1,12,63.1,B-,8,757.2,2,88%
16,ADM1032,Mary Wambui,Female,56.7,69.0,84.9,88.1,,34.2,53.1,56.9,,85.6,86.4,68.2,40.1,28.9,12,63.1,B-,8,757.2,4,86%
17,ADM1036,James Odhiambo,Male,53.2,34.1,52.8,74.6,40.1,76.2,,49.8,80.4,67.9,45.2,,87.1,89.0,12,62.9,B-,8,754.8,2,83%
18,ADM1041,Ann Kamau,Female,77.6,81.1,46.2,40.1,88.9,,50.8,,60.1,66.4,62.7,87.8,31.2,53.9,12,62.5,B-,8,750.0,2,99%
19,ADM1005,Jane Achieng,Female,36.4,34.8,70.8,49.2,71.1,86.2,34.1,79.4,,,89.8,85.4,57.6,52.1,12,62.8,B-,8,753.6,1,87%
20,ADM1004,Michael Omondi,Female,74.6,78.4,58.6,73.9,55.7,,78.8,,54.6,55.1,81.3,46.8,38.9,40.1,12,61.6,B-,8,739.2,4,83%
21,ADM1028,Grace Omondi,Female,61.6,71.5,48.7,33.2,45.4,,79.6,55.1,,27.8,89.1,89.7,46.2,86.8,12,61.5,B-,8,738.0,3,81%
22,ADM1057,Peter Odhiambo,Male,47.1,52.4,35.2,73.4,38.1,,,54.2,64.0,79.6,88.0,58.7,65.2,80.4,12,61.5,B-,8,738.0,3,84%
23,ADM1029,Peter Mutiso,Male,73.2,86.1,82.1,56.4,27.9,38.4,28.9,66.3,28.2,74.3,82.9,83.4,,,12,61.0,B-,8,732.0,3,83%
24,ADM1054,Daniel Wanjiku,Female,77.6,67.5,75.9,76.7,61.1,31.2,54.3,,67.1,,35.2,42.1,66.0,72.1,12,60.8,B-,8,729.6,2,80%
25,ADM1060,John Omondi,Female,41.8,66.4,74.6,44.2,46.8,,64.4,72.3,54.5,39.7,40.1,86.7,,89.5,12,60.5,B-,8,726.0,3,83%
26,ADM1018,James Wanjiku,Male,75.1,36.0,56.2,77.0,63.0,34.8,44.7,,59.8,63.4,,88.7,37.2,83.2,12,60.3,B-,8,723.6,3,98%
